DATE_KEY,AS_OF_DATE_FORMATTED,PRODUCT_CODE,PRODUCT_NAME,PRODUCT_TYPE,FUND_CAPABILITY,PORTFOLIO_RANK,PORTFOLIO_BREAKDOWN_CODE,PORTFOLIO_BREAKDOWN_DESC,IS_EXPOSURE_FUND,PORTFOLIO_LEVEL1_DESCRIPTION,PORTFOLIO_LEVEL1_WEIGHT_PCT,PORTFOLIO_LEVEL1_TOTAL,INDEX_LEVEL1_WEIGHT_PCT,INDEX_LEVEL1_TOTAL,PORTFOLIO_LEVEL2_DESCRIPTION,PORTFOLIO_LEVEL2_WEIGHT_PCT,PORTFOLIO_LEVEL2_TOTAL,INDEX_LEVEL2_WEIGHT_PCT,INDEX_LEVEL2_TOTAL,PORTFOLIO_LEVEL1_GROSS_EXP_WGT_PCT,PORTFOLIO_LEVEL1_NET_EXP_WGT_PCT,PORTFOLIO_LEVEL2_GROSS_EXP_WGT_PCT,PORTFOLIO_LEVEL2_NET_EXP_WGT_PCT
20230831,31-Aug-23,CANALT,Canadian Alternative Fund,Alternatives,Alternatives,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,11.50%,880000,11.20%,850000,Credit Quality S&P,7.80%,620000,7.50%,600000,12.00%,10.80%,8.50%,7.50%
20230831,31-Aug-23,GLBHEALTH2,Global Biotech Fund,Healthcare,Healthcare,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,14.80%,1150000,14.20%,1100000,ESG Allocation,9.20%,720000,8.80%,700000,15.80%,13.50%,10.00%,8.80%
20230831,31-Aug-23,USGROWTH,US Growth Fund,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,10.80%,850000,10.50%,820000,Regional Allocation,7.50%,600000,7.20%,580000,11.50%,10.20%,8.00%,7.00%
20230831,31-Aug-23,ASIAREAL,Asia Real Estate Fund,Real Estate,Real Estate,,REG_ALLOC,Regional Allocation,Yes,Regional Allocation,15.50%,1220000,15.00%,1180000,Duration Allocation,10.80%,820000,10.50%,800000,16.50%,14.80%,11.00%,9.80%
20230831,31-Aug-23,EUFIXED,European Fixed Income,Fixed Income,Fixed Income,,DUR_ALLOC,Duration Allocation,No,Duration Allocation,10.50%,820000,10.20%,800000,ESG Allocation,7.20%,580000,7.00%,560000,11.00%,9.80%,7.50%,6.50%
20230831,31-Aug-23,GLBCLIMATE,Global Climate Fund,Energy,Energy,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,14.80%,1150000,14.20%,1100000,Regional Allocation,9.20%,720000,8.80%,700000,15.80%,13.50%,10.00%,8.80%
20230831,31-Aug-23,EMERGEQ,Emerging Markets Equity,Equity,Equity,,REG_ALLOC,Regional Allocation,No,Regional Allocation,18.00%,1350000,17.50%,1300000,Credit Quality S&P,12.20%,920000,11.80%,900000,19.00%,17.00%,12.50%,11.20%
20230831,31-Aug-23,USVALUE,US Value Fund,Equity,Equity,,SECTOR_ALLOC,Credit Quality S&P,No,Credit Quality S&P,10.50%,820000,10.20%,1300000,ESG Allocation,11.50%,820000,10.50%,800000,16.50%,14.80%,9.00%,8.00%
20230831,31-Aug-23,LATAMFIX,Latin America Fixed Inc.,Fixed Income,Fixed Income,,CRED_QUAL_SP,Credit Quality S&P,No,Credit Quality S&P,14.80%,1150000,14.20%,920000,Duration Allocation,7.80%,580000,7.00%,560000,11.00%,9.80%,12.50%,10.80%
20230831,31-Aug-23,JAPANALT,Japan Alternative Fund,Alternatives,Alternatives,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,18.00%,1350000,17.50%,1250000,Regional Allocation,10.80%,720000,8.80%,700000,15.80%,13.50%,8.00%,8.80%
20230831,31-Aug-23,GLBTECH2,Global AI Technology Fund,Technology,Technology,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,12.00%,950000,11.50%,1000000,Credit Quality S&P,7.20%,920000,11.80%,900000,19.00%,17.00%,10.00%,11.50%
20230831,31-Aug-23,CANFIX,Canadian Fixed Income,Fixed Income,Fixed Income,,DUR_ALLOC,Duration Allocation,Yes,Duration Allocation,16.00%,1300000,15.50%,1400000,ESG Allocation,9.20%,680000,8.20%,660000,13.00%,11.50%,11.50%,7.50%
20230831,31-Aug-23,USMICRO,US Micro Cap Fund,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,13.50%,1050000,13.00%,900000,Duration Allocation,12.20%,850000,10.80%,820000,17.00%,15.50%,9.50%,11.20%
20230831,31-Aug-23,ASIAENERGY,Asia Energy Fund,Energy,Energy,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,18.20%,1450000,17.80%,1080000,Regional Allocation,8.50%,750000,9.20%,720000,14.50%,12.80%,8.50%,7.00%
20230831,31-Aug-23,EUROPTECH,European Tech Fund,Technology,Technology,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,11.80%,920000,11.50%,920000,ESG Allocation,11.20%,950000,12.00%,920000,19.50%,17.80%,7.50%,8.50%
20230831,31-Aug-23,GLBINFRA,Global Infrastructure 2,Infrastructure,Infrastructure,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,14.50%,1120000,14.00%,1300000,Credit Quality S&P,9.50%,650000,8.00%,630000,12.50%,11.00%,12.50%,10.50%
20230831,31-Aug-23,LATAMTECH,Latin America Tech Fund,Technology,Technology,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,12.00%,950000,11.70%,800000,ESG Allocation,12.50%,780000,9.70%,750000,15.50%,14.00%,12.00%,8.20%
20230831,31-Aug-23,JAPANREAL,Japan Real Estate Fund,Real Estate,Real Estate,,REG_ALLOC,Regional Allocation,Yes,Regional Allocation,17.50%,1350000,17.00%,1150000,Regional Allocation,8.20%,680000,8.50%,660000,13.50%,12.00%,10.00%,11.20%
20230831,31-Aug-23,GLBALT2,Global Alternative Fund 2,Alternatives,Alternatives,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,10.50%,820000,10.20%,950000,Duration Allocation,10.00%,900000,11.50%,870000,18.50%,16.50%,13.00%,8.80%
20230831,31-Aug-23,CANENERGY,Canadian Energy Fund,Energy,Energy,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,15.80%,1200000,15.30%,1200000,ESG Allocation,8.70%,580000,7.20%,560000,11.50%,10.20%,8.50%,7.00%
20230831,31-Aug-23,GLBHEALTH3,Global Pharma Fund,Healthcare,Healthcare,,SECTOR_ALLOC,Sector Allocation,Yes,Sector Allocation,13.00%,1000000,12.50%,920000,Regional Allocation,12.00%,800000,10.20%,780000,16.50%,14.80%,10.50%,9.80%
20230831,31-Aug-23,USVALUE2,US Value Fund 2,Equity,Equity,,SECTOR_ALLOC,Sector Allocation,No,Sector Allocation,16.50%,1250000,16.00%,1350000,Credit Quality S&P,7.50%,700000,8.70%,680000,14.00%,12.50%,9.00%,6.50%
